"STATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00023174","2020-03-13","0.55","57","60","54"
"USW00023174","2020-03-14","0.08","58","62","57"
"USW00023174","2020-03-15","0.08","59","65","54"
"USW00023174","2020-03-16","0.36","59","64","52"
"USW00023174","2020-03-17","0.05","54","61","47"
"USW00023174","2020-03-18","0.00","55","64","48"
"USW00023174","2020-03-19","0.02","58","62","52"
"USW00023174","2020-03-20","0.00","57","66","51"
"USW00023174","2020-03-21","0.00","61","66","55"
"USW00023174","2020-03-22","1.73","60","70","52"
"USW00023174","2020-03-23","0.00","60","65","57"
"USW00023174","2020-03-24","0.00","59","65","53"
"USW00023174","2020-03-25","0.00","59","63","54"
"USW00023174","2020-03-26","0.00","57","62","49"
"USW00023174","2020-03-27","0.00","57","64","51"
"USW00023174","2020-03-28","0.00","58","65","50"
"USW00023174","2020-03-29","0.00","59","66","51"
"USW00023174","2020-03-30","0.00","60","70","52"
"USW00023174","2020-03-31","0.00","62","72","55"
"USW00023174","2020-04-01","0.00","63","69","57"
"USW00023174","2020-04-02","0.00","63","69","59"
"USW00023174","2020-04-03","0.00","62","67","54"
"USW00023174","2020-04-04","0.00","60","67","55"
"USW00023174","2020-04-05","0.06","60","65","57"
"USW00023174","2020-04-06","1.22","59","62","56"
"USW00023174","2020-04-07","0.26","59","66","53"
"USW00023174","2020-04-08","0.01","55","62","51"
"USW00023174","2020-04-09","0.88","55","57","51"
"USW00023174","2020-04-10","0.23","55","67","52"
"USW00023174","2020-04-11","0.00","60","68","51"
"USW00023174","2020-04-12","0.02","60","62","59"
"USW00023174","2020-04-13","0.00","61","65","57"
"USW00023174","2020-04-14","0.00","60","67","55"
"USW00023174","2020-04-15","0.00","65","79","55"
"USW00023174","2020-04-16","0.00","64","70","55"
"USW00023174","2020-04-17","0.00","61","67","58"
"USW00023174","2020-04-18","0.00","62","67","60"
"USW00023174","2020-04-19","0.00","62","67","59"
"USW00023174","2020-04-20","0.00","62","67","57"
"USW00023174","2020-04-21","0.00","62","70","57"
"USW00023174","2020-04-22","0.00","65","81","57"
"USW00023174","2020-04-23","0.00","72","86","61"
"USW00023174","2020-04-24","0.00","71","85","63"
"USW00023174","2020-04-25","0.00","73","84","63"
"USW00023174","2020-04-26","0.00","67","74","58"
"USW00023174","2020-04-27","0.00","66","73","61"
"USW00023174","2020-04-28","0.00","68","75","62"
"USW00023174","2020-04-29","0.00","65","71","62"
"USW00023174","2020-04-30","0.00","65","70","62"
"USW00023174","2020-05-01","0.00","65","72","62"
"USW00023174","2020-05-02","0.00","67","73","61"
"USW00023174","2020-05-03","0.00","66","72","59"
"USW00023174","2020-05-04","0.00","66","74","59"
"USW00023174","2020-05-05","0.00","70","80","63"
"USW00023174","2020-05-06","0.00","72","86","62"
"USW00023174","2020-05-07","0.00","74","87","65"
"USW00023174","2020-05-08","0.00","71","77","63"
"USW00023174","2020-05-09","0.00","69","74","56"
"USW00023174","2020-05-10","0.00","66","71","62"
"USW00023174","2020-05-11","0.00","65","71","62"
"USW00023174","2020-05-12","0.00","64","72","59"
"USW00023174","2020-05-13","0.00","65","71","59"
"USW00023174","2020-05-14","0.00","66","73","58"
"USW00023174","2020-05-15","0.00","65","73","59"
"USW00023174","2020-05-16","0.00","66","74","59"
"USW00023174","2020-05-17","0.00","66","75","60"
"USW00023174","2020-05-18","0.12","64","70","59"
"USW00023174","2020-05-19","0.00","62","68","56"
"USW00023174","2020-05-20","0.00","62","68","54"
"USW00023174","2020-05-21","0.00","64","73","57"
"USW00023174","2020-05-22","0.00","66","75","59"
"USW00023174","2020-05-23","0.00","64","70","59"
"USW00023174","2020-05-24","0.00","63","70","59"
"USW00023174","2020-05-25","0.00","63","69","59"
"USW00023174","2020-05-26","0.00","63","69","58"
"USW00023174","2020-05-27","0.00","62","69","57"
"USW00023174","2020-05-28","0.00","62","68","59"
"USW00023174","2020-05-29","0.00","62","68","60"
"USW00023174","2020-05-30","0.00","64","71","60"
"USW00023174","2020-05-31","0.00","64","70","58"
"USW00023174","2020-06-01","0.00","65","75","60"
"USW00023174","2020-06-02","0.00","67","76","60"
"USW00023174","2020-06-03","0.00","67","78","61"
"USW00023174","2020-06-04","0.00","67","74","62"
"USW00023174","2020-06-05","0.00","67","70","63"
"USW00023174","2020-06-06","0.00","65","69","61"
"USW00023174","2020-06-07","0.00","65","72","58"
"USW00023174","2020-06-08","0.00","71","84","65"
"USW00023174","2020-06-09","0.00","78","93","63"
"USW00023174","2020-06-10","0.00","78","89","67"
"USW00023174","2020-06-11","0.00","72","78","60"
"USW00023174","2020-06-12","0.00","65","70","61"
"USW00023174","2020-06-13","0.00","65","73","59"
"USW00023174","2020-06-14","0.00","65","73","59"
"USW00023174","2020-06-15","0.00","67","74","60"
"USW00023174","2020-06-16","0.00","66","71","63"
"USW00023174","2020-06-17","0.00","67","74","62"
"USW00023174","2020-06-18","0.00","65","70","62"
"USW00023174","2020-06-19","0.00","66","71","63"
"USW00023174","2020-06-20","0.00","65","70","62"
"USW00023174","2020-06-21","0.00","66","72","63"
"USW00023174","2020-06-22","0.00","66","73","62"
"USW00023174","2020-06-23","0.00","65","71","61"
"USW00023174","2020-06-24","0.00","64","70","61"
"USW00023174","2020-06-25","0.00","65","72","63"
"USW00023174","2020-06-26","0.00","65","70","62"
"USW00023174","2020-06-27","0.00","65","71","61"
"USW00023174","2020-06-28","0.00","66","69","63"
"USW00023174","2020-06-29","0.00","66","71","63"
"USW00023174","2020-06-30","0.00","65","71","62"
"USW00023174","2020-07-01","0.00","65","71","63"
"USW00023174","2020-07-02","0.00","67","74","62"
"USW00023174","2020-07-03","0.00","66","72","61"
"USW00023174","2020-07-04","0.00","68","76","62"
"USW00023174","2020-07-05","0.00","70","80","63"
"USW00023174","2020-07-06","0.00","70","78","63"
"USW00023174","2020-07-07","0.00","70","76","64"
"USW00023174","2020-07-08","0.00","69","76","62"
"USW00023174","2020-07-09","0.00","68","75","63"
"USW00023174","2020-07-10","0.00","68","76","63"
"USW00023174","2020-07-11","0.00","69","79","63"
"USW00023174","2020-07-12","0.00","73","81","67"
"USW00023174","2020-07-13","0.00","71","78","64"
"USW00023174","2020-07-14","0.00","69","75","63"
"USW00023174","2020-07-15","0.00","67","72","62"
"USW00023174","2020-07-16","0.00","66","72","62"
"USW00023174","2020-07-17","0.00","67","74","63"
"USW00023174","2020-07-18","0.00","67","72","62"
"USW00023174","2020-07-19","0.00","65","71","61"
"USW00023174","2020-07-20","0.00","65","71","60"
"USW00023174","2020-07-21","0.00","66","73","59"
"USW00023174","2020-07-22","0.00","63","70","59"
"USW00023174","2020-07-23","0.00","65","73","61"
"USW00023174","2020-07-24","0.00","66","73","61"
"USW00023174","2020-07-25","0.00","66","72","61"
"USW00023174","2020-07-26","0.00","64","69","60"
"USW00023174","2020-07-27","0.00","64","68","60"
"USW00023174","2020-07-28","0.00","63","70","60"
"USW00023174","2020-07-29","0.00","64","69","59"
